@relation 'All_onset_5feat_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45-weka.filters.unsupervised.attribute.Remove-R1-5,7,9,11-12,14-16,18-32'

@attribute onset_s numeric
@attribute measure numeric
@attribute pre_dur_s numeric
@attribute pre_ionset_s numeric
@attribute n_simult numeric
@attribute onset_dev numeric

@data
58.285724,18,0.855357,-0.857143,4,1.528333
58.285724,18,0.855357,0,5,1.531583
58.285724,18,1.7125,0,5,1.535917
58.285724,18,1.7125,0,5,2.69075
58.285724,18,1.7125,0,5,2.939917
59.142867,18,1.7125,-0.857143,4,1.939917
60.00001,18,0.855357,-0.857143,3,1.411167
60.00001,18,1.283929,0,3,1.48375
60.00001,18,1.283929,0,3,1.556333
60.00001,18,1.283929,0,3,1.632167
61.285725,18,1.283929,-1.285715,0,0.213417
61.714296,19,0.426786,-0.428572,4,-0.286583
61.714296,19,0.569643,0,6,0.29625
61.714296,19,1.7125,0,6,0.29625
61.714296,19,1.7125,0,6,0.29625
61.714296,19,1.7125,0,6,0.321167
62.285725,19,1.7125,-0.571429,4,-0.3455
62.857153,19,0.569643,-0.571429,4,-1.012167
63.428582,19,0.569643,-0.571429,3,-1.678833
63.428582,19,0.855357,0,3,-1.06025
63.428582,19,0.855357,0,3,-1.06025
63.428582,19,0.855357,0,3,-1.06025
64.285725,19,0.855357,-0.857143,3,-1.6085
64.285725,19,0.855357,0,3,-1.47525
64.285725,19,0.855357,0,3,-1.47525
64.285725,19,0.855357,0,3,-1.40375
65.142868,20,0.855357,-0.857143,3,-1.54575
65.142868,20,0.855357,0,3,-1.54575
65.142868,20,0.855357,0,3,-0.64875
65.142868,20,0.855357,0,3,0.321917
66.000011,20,0.855357,-0.857143,0,0.250333
66.857154,20,0.855357,-0.857143,3,-0.748583
66.857154,20,1.7125,0,3,-0.745333
66.857154,20,1.7125,0,3,-0.736667
66.857154,20,1.7125,0,3,1.753917
69.000012,21,1.7125,-2.142858,3,-0.74175
69.000012,21,1.283929,0,3,0.570167
69.000012,21,1.283929,0,3,0.570167
69.000012,21,1.283929,0,3,0.5745
70.285726,21,1.283929,-1.285714,1,-0.048
70.285726,21,0.855357,0,1,-0.048
71.142869,21,0.855357,-0.857143,1,-1.043667
71.142869,21,0.855357,0,1,-1.043667
72.000012,22,0.855357,-0.857143,3,-1.367667
72.000012,22,0.855357,0,3,-1.250667
72.000012,22,0.855357,0,3,-1.166167
72.000012,22,0.855357,0,3,-1.10225
72.857155,22,0.855357,-0.857143,3,-2.093583
72.857155,22,0.855357,0,3,-1.180333
72.857155,22,0.855357,0,3,-1.167333
72.857155,22,0.855357,0,3,-1.167333
73.714298,22,0.855357,-0.857143,3,-2.167333
73.714298,22,0.855357,0,3,-1.218333
73.714298,22,0.855357,0,3,-1.218333
73.714298,22,0.855357,0,3,-1.215083
74.571441,22,0.855357,-0.857143,3,-2.214
74.571441,22,0.855357,0,3,-2.150083
74.571441,22,0.855357,0,3,-1.244417
74.571441,22,0.855357,0,3,-1.23575
75.428584,23,0.855357,-0.857143,3,-2.2325
75.428584,23,1.7125,0,3,-1.291083
75.428584,23,1.7125,0,3,-1.291083
75.428584,23,1.7125,0,3,-1.2185
77.14287,23,1.7125,-1.714286,3,-1.588083
77.14287,23,0.855357,0,3,-1.455917
77.14287,23,0.855357,0,3,-1.266333
77.14287,23,0.855357,0,3,-1.266333
78.000013,23,0.855357,-0.857143,0,-2.21325
78.857156,24,0.855357,-0.857143,4,-1.631583
78.857156,24,1.7125,0,4,-1.507
78.857156,24,1.7125,0,4,-1.346667
78.857156,24,1.7125,0,4,-1.26975
78.857156,24,1.7125,0,4,-1.222083
80.571442,24,1.7125,-1.714286,4,-1.382583
80.571442,24,1.7125,0,4,-1.382583
80.571442,24,1.7125,0,4,-1.297
80.571442,24,1.7125,0,4,-1.216833
80.571442,24,1.7125,0,4,-1.116083
82.285728,25,1.7125,-1.714286,3,-3.003417
82.285728,25,0.855357,0,3,-1.248417
82.285728,25,0.855357,0,3,-1.140083
82.285728,25,0.855357,0,3,-1.075083
83.142871,25,0.855357,-0.857143,0,-1.145583
84.000014,25,0.855357,-0.857143,3,-1.39375
84.000014,25,1.283929,0,3,-1.281083
84.000014,25,1.283929,0,3,-1.196583
84.000014,25,1.283929,0,3,-1.12725
85.285729,25,1.283929,-1.285714,0,-2.62725
85.7143,26,0.426786,-0.428572,3,-2.670083
85.7143,26,0.855357,0,3,-1.695083
85.7143,26,0.855357,0,3,-1.123083
85.7143,26,0.855357,0,3,-0.13725
86.571443,26,0.855357,-0.857143,0,-1.13725
87.428586,26,0.855357,-0.857143,3,-1.993167
87.428586,26,1.283929,0,3,-1.20775
87.428586,26,1.283929,0,3,-1.19475
87.428586,26,1.283929,0,3,0.897167
88.714301,26,1.283929,-1.285714,0,0.302833
89.142872,27,0.426786,-0.428572,3,0.551417
89.142872,27,0.855357,0,3,0.62725
89.142872,27,0.855357,0,3,0.712833
89.142872,27,0.855357,0,3,0.784333
90.000015,27,0.855357,-0.857143,0,-0.215667
90.857158,27,0.855357,-0.857143,0,-1.207
90.857158,27,0.426786,0,2,-1.159333
90.857158,27,0.855357,0,2,-1.159333
90.857158,27,0.855357,0,2,-0.744417
91.28573,27,0.855357,-0.428572,0,-1.244417
91.714301,27,0.426786,-0.428572,0,-0.895083
92.142873,27,0.426786,-0.428572,0,-1.395083
92.571444,28,0.426786,-0.428572,3,-1.895083
92.571444,28,0.855357,0,4,-1.407583
92.571444,28,1.7125,0,4,-1.4
92.571444,28,1.7125,0,4,-1.39675
93.428587,28,1.7125,-0.857143,3,-2.387
94.28573,28,0.855357,-0.857143,4,-2.289583
94.28573,28,1.7125,0,4,-1.616833
94.28573,28,1.7125,0,4,-1.616833
94.28573,28,1.7125,0,4,-1.419667
94.714302,28,1.7125,-0.428572,4,-1.11475
96.000016,29,1.283929,-1.285714,2,-1.580167
96.857159,29,1.7125,-0.857143,2,-1.58675
96.857159,29,0.855357,0,2,-1.58675
97.714302,29,0.855357,-0.857143,0,-2.58675
97.714302,29,0.426786,0,0,-2.578083
98.142874,29,0.426786,-0.428572,0,-2.071667
98.142874,29,0.426786,0,0,-1.114
98.571445,29,0.426786,-0.428572,0,-1.605333
98.571445,29,0.426786,0,0,-1.1265
99.000017,29,0.426786,-0.428572,0,-1.62325
99.000017,29,0.426786,0,0,-1.62325
99.428588,30,0.426786,-0.428572,3,-1.728917
99.428588,30,0.855357,0,3,-1.61625
99.428588,30,0.855357,0,3,-1.568583
99.428588,30,0.855357,0,3,0.364083
100.285731,30,0.855357,-0.857143,0,-0.635917
101.142874,30,0.855357,-0.857143,3,-1.635917
101.142874,30,0.855357,0,3,-0.669583
101.142874,30,0.855357,0,3,-0.666333
101.142874,30,0.855357,0,3,-0.666333
102.000017,30,0.855357,-0.857143,0,-0.692417
102.85716,31,0.855357,-0.857143,3,-1.691333
102.85716,31,1.7125,0,3,-1.68375
102.85716,31,1.7125,0,3,0.12325
102.85716,31,1.7125,0,3,0.364833
104.571446,31,1.7125,-1.714286,3,-1.50625
104.571446,31,1.7125,0,3,0.067833
104.571446,31,1.7125,0,3,0.2975
104.571446,31,1.7125,0,3,0.400417
106.285732,32,1.7125,-1.714286,2,-0.930083
106.285732,32,3.426786,0,2,2.378417
106.285732,32,3.426786,0,2,2.378417
106.285732,32,3.426786,0,3,2.378417
0,1,0,0,0,0
0.25,1,0.331944,-0.25,0,-0.5
0.333333,1,0.109722,-0.083333,0,-0.666667
0.416667,1,0.109722,-0.083333,0,-0.833333
0.5,1,0.109722,-0.083333,0,-1
0.5,1,0.220833,0,5,-0.098281
0.666667,1,1.998611,-0.166667,1,-0.340083
0.833333,1,0.220833,-0.166667,1,-0.010948
1,1,0.220833,-0.166667,1,-0.003531
1.166667,1,0.220833,-0.166667,1,0.026542
1.333333,1,0.220833,-0.166667,1,-0.306792
1.5,1,0.220833,-0.166667,0,0.296031
1.666667,1,0.220833,-0.166667,0,-0.037302
1.833333,1,0.220833,-0.166667,0,-0.370635
2,1,0.220833,-0.166667,0,-0.703969
2.166667,2,0.220833,-0.166667,0,-1.037302
2.333333,2,0.220833,-0.166667,0,-1.067948
2.5,2,0.220833,-0.166667,0,-1.2735
2.666667,2,0.220833,-0.166667,0,-1.387521
2.833333,2,0.220833,-0.166667,0,-1.421792
3,2,0.220833,-0.166667,0,-1.755125
3.25,2,0.331944,-0.25,0,-2.255125
3.333333,2,0.109722,-0.083333,0,-2.084667
3.416667,2,0.109722,-0.083333,0,-1.948646
3.5,2,0.109722,-0.083333,0,-1.934062
3.5,2,0.220833,0,0,1.651969
3.5,2,0.220833,0,0,1.651969
3.5,2,0.220833,0,5,1.652875
3.666667,2,1.998611,-0.166667,1,1.51076
3.833333,2,0.220833,-0.166667,1,1.62874
4,2,0.220833,-0.166667,1,1.608969
4.166667,3,0.220833,-0.166667,1,2.258917
4.333333,3,0.220833,-0.166667,1,2.548177
4.5,3,0.220833,-0.166667,0,2.537469
4.666667,3,0.220833,-0.166667,0,2.204135
4.833333,3,0.220833,-0.166667,0,1.870802
5,3,0.220833,-0.166667,0,1.537469
5.166667,3,0.220833,-0.166667,0,1.204135
5.333333,3,0.220833,-0.166667,0,0.870802
5.5,3,0.220833,-0.166667,0,0.864625
5.666667,3,0.220833,-0.166667,0,0.538542
5.833333,3,0.220833,-0.166667,0,0.205208
6,4,0.220833,-0.166667,0,-0.128125
6.25,4,0.331944,-0.25,0,-0.069875
6.333333,4,0.109722,-0.083333,0,-0.236542
6.416667,4,0.109722,-0.083333,0,-0.403208
6.5,4,0.109722,-0.083333,0,-0.118563
6.5,4,0.220833,0,0,0.083531
6.5,4,0.220833,0,0,1.255312
6.5,4,0.220833,0,5,1.295187
6.666667,4,1.998611,-0.166667,1,1.241885
6.833333,4,0.220833,-0.166667,1,0.908552
7,4,0.220833,-0.166667,1,0.575219
7.166667,4,0.220833,-0.166667,1,0.241885
7.333333,4,0.220833,-0.166667,1,-0.024385
7.5,4,0.220833,-0.166667,0,-0.098531
7.666667,4,0.220833,-0.166667,0,-0.119208
7.833333,4,0.220833,-0.166667,0,-0.146229
8,5,0.220833,-0.166667,0,-0.139719
8.166667,5,0.220833,-0.166667,0,-0.169458
8.333333,5,0.220833,-0.166667,0,-0.185604
8.5,5,0.220833,-0.166667,0,-0.192688
8.666667,5,0.220833,-0.166667,0,0.147323
8.833333,5,0.220833,-0.166667,0,-0.18601
9,5,0.220833,-0.166667,0,-0.519344
9.25,5,0.331944,-0.25,0,-1.019344
9.333333,5,0.109722,-0.083333,0,-1.18601
9.416667,5,0.109722,-0.083333,0,-0.959365
9.5,5,0.109722,-0.083333,0,-0.684688
9.5,5,0.220833,0,0,-0.024938
9.5,5,0.220833,0,0,0.921187
9.5,5,0.220833,0,5,0.954719
9.666667,5,1.998611,-0.166667,1,0.91501
9.833333,5,0.220833,-0.166667,1,0.594365
10,6,0.220833,-0.166667,1,0.867312
10.166667,6,0.220833,-0.166667,1,0.533979
10.333333,6,0.220833,-0.166667,1,0.200646
10.5,6,0.220833,-0.166667,0,-0.132688
10.666667,6,0.220833,-0.166667,0,-0.14249
10.833333,6,0.220833,-0.166667,0,-0.473104
11,6,0.220833,-0.166667,0,-0.806438
11.166667,6,0.220833,-0.166667,0,-1.139771
11.333333,6,0.220833,-0.166667,0,-1.472198
11.5,6,0.220833,-0.166667,0,-1.573531
11.666667,6,0.220833,-0.166667,0,-1.836177
11.833333,6,0.220833,-0.166667,0,-1.83601
12,7,0.220833,-0.166667,0,-2.166625
12.25,7,0.331944,-0.25,0,-2.376625
12.333333,7,0.109722,-0.083333,0,-2.233354
12.416667,7,0.109722,-0.083333,0,-2.400021
12.5,7,0.109722,-0.083333,0,-2.441625
12.5,7,0.220833,0,0,-2.246781
12.5,7,0.220833,0,0,-1.590656
12.5,7,0.220833,0,5,-0.287469
12.666667,7,1.998611,-0.166667,1,-0.516583
12.833333,7,0.220833,-0.166667,1,1.436552
13,7,0.220833,-0.166667,1,1.413156
13.166667,7,0.220833,-0.166667,1,1.436885
13.333333,7,0.220833,-0.166667,1,1.103552
13.5,7,0.220833,-0.166667,0,0.770219
13.666667,7,0.220833,-0.166667,0,0.436885
13.833333,7,0.220833,-0.166667,0,0.103552
14,8,0.220833,-0.166667,0,-0.229781
14.166667,8,0.220833,-0.166667,0,-0.209677
14.333333,8,0.220833,-0.166667,0,-0.219479
14.5,8,0.220833,-0.166667,0,-0.552813
14.666667,8,0.220833,-0.166667,0,-0.617896
14.833333,8,0.220833,-0.166667,0,-0.906823
15,8,0.220833,-0.166667,0,-1.044406
15.166667,8,0.220833,-0.166667,0,-0.250365
15.333333,8,0.220833,-0.166667,0,-0.257448
15.5,8,0.220833,-0.166667,0,-0.590781
15.5,8,0.665278,0,0,-0.311656
15.75,8,0.331944,-0.25,0,-0.720125
15.833333,8,0.109722,-0.083333,0,-0.311323
15.916667,8,0.109722,-0.083333,0,-0.47799
16,9,0.109722,-0.083333,2,-0.159813
16.166667,9,1.331944,-0.166667,1,-0.149677
16.333333,9,0.220833,-0.166667,1,-0.183948
16.5,9,0.220833,-0.166667,0,-0.206438
16.666667,9,0.220833,-0.166667,0,-0.18724
16.833333,9,0.220833,-0.166667,0,-0.219698
17,9,0.220833,-0.166667,0,-0.190531
17,9,0.665278,0,0,-0.139781
17,9,0.665278,0,0,0.083156
17.25,9,0.331944,-0.25,0,-0.060688
17.333333,9,0.109722,-0.083333,0,-0.065135
17.416667,9,0.109722,-0.083333,0,-0.231802
17.5,9,0.109722,-0.083333,2,-0.190031
17.666667,9,1.331944,-0.166667,1,-0.146365
17.833333,9,0.220833,-0.166667,1,-0.179729
18,10,0.220833,-0.166667,0,-0.193156
18.166667,10,0.220833,-0.166667,0,-0.52649
18.333333,10,0.220833,-0.166667,0,-0.859823
18.5,10,0.220833,-0.166667,0,-1.015531
18.5,10,0.220833,0,0,-0.863281
18.5,10,0.220833,0,0,-0.537031
18.5,10,0.220833,0,0,-0.291438
18.666667,10,0.665278,-0.166667,0,-0.566771
18.833333,10,0.220833,-0.166667,0,-0.900104
19,10,0.220833,-0.166667,0,-1.146437
19.166667,10,0.220833,-0.166667,0,-0.250896
19.333333,10,0.220833,-0.166667,0,-0.301479
19.5,10,0.220833,-0.166667,0,-0.27775
19.666667,10,0.220833,-0.166667,0,-0.281208
19.833333,10,0.220833,-0.166667,0,-0.324542
20,11,0.220833,-0.166667,0,-0.315312
20.166667,11,0.220833,-0.166667,0,-0.648646
20.333333,11,0.220833,-0.166667,0,-0.981979
20.5,11,0.220833,-0.166667,0,-0.281281
20.666667,11,0.220833,-0.166667,0,-0.271146
20.833333,11,0.220833,-0.166667,0,-0.290917
21,11,0.220833,-0.166667,0,-0.274437
21.166667,11,0.220833,-0.166667,0,-0.281521
21.333333,11,0.220833,-0.166667,0,-0.26776
21.5,11,0.220833,-0.166667,0,-0.601094
21.5,11,0.331944,0,0,-0.260344
21.5,11,0.665278,0,0,-0.257625
21.75,11,0.665278,-0.25,0,-0.165844
21.833333,11,0.109722,-0.083333,0,0.80574
21.916667,11,0.109722,-0.083333,0,0.693448
22,11,0.109722,-0.083333,0,0.534031
22.166667,12,0.220833,-0.166667,0,0.391917
22.333333,12,0.220833,-0.166667,0,0.058583
22.5,12,0.220833,-0.166667,0,-0.27475
22.666667,12,0.220833,-0.166667,0,-0.288177
22.833333,12,0.220833,-0.166667,0,-0.328792
23,12,0.220833,-0.166667,0,-0.328625
23,12,0.665278,0,0,-0.213531
23,12,0.665278,0,0,-0.079406
23.25,12,0.331944,-0.25,0,0.609594
23.333333,12,0.109722,-0.083333,0,0.813583
23.416667,12,0.109722,-0.083333,0,0.683167
23.5,12,0.109722,-0.083333,2,0.5165
23.666667,12,1.331944,-0.166667,1,0.408823
23.833333,12,0.220833,-0.166667,1,0.07549
24,12,0.220833,-0.166667,0,-0.257844
24.166667,13,0.220833,-0.166667,0,-0.257677
24.333333,13,0.220833,-0.166667,0,-0.284698
24.5,13,0.220833,-0.166667,0,-0.247375
24.5,13,0.665278,0,0,-0.237406
24.5,13,0.665278,0,0,0.290938
24.75,13,0.331944,-0.25,0,-0.209062
24.833333,13,0.109722,-0.083333,0,-0.375729
24.916667,13,0.109722,-0.083333,0,-0.289552
25,13,0.109722,-0.083333,2,-0.265
25.166667,13,1.331944,-0.166667,1,-0.237646
25.333333,13,0.220833,-0.166667,1,-0.251073
25.5,13,0.220833,-0.166667,0,-0.258156
25.666667,13,0.220833,-0.166667,0,-0.267958
25.833333,13,0.220833,-0.166667,0,-0.314917
26,13,0.220833,-0.166667,0,-0.304781
26.166667,14,0.220833,-0.166667,0,-0.305521
26.333333,14,0.220833,-0.166667,0,-0.315323
26.5,14,0.220833,-0.166667,0,-0.3215
26.666667,14,0.220833,-0.166667,0,-0.324958
26.833333,14,0.220833,-0.166667,0,0.341302
27,14,0.220833,-0.166667,0,0.007969
27.166667,14,0.220833,-0.166667,0,-0.325365
27.333333,14,0.220833,-0.166667,0,-0.345135
27.5,14,0.220833,-0.166667,2,-0.322312
27.666667,14,1.331944,-0.166667,1,-0.298583
27.833333,14,0.220833,-0.166667,1,-0.31926
28,14,0.220833,-0.166667,0,0.314375
28.166667,15,0.220833,-0.166667,0,-0.018958
28.333333,15,0.220833,-0.166667,0,-0.352292
28.5,15,0.220833,-0.166667,0,-0.353031
28.666667,15,0.665278,-0.166667,0,-0.325677
28.833333,15,0.220833,-0.166667,0,-0.322792
29,15,0.220833,-0.166667,2,-0.305406
29.166667,15,1.331944,-0.166667,1,-0.291646
29.333333,15,0.220833,-0.166667,1,-0.28151
29.5,15,0.220833,-0.166667,0,-0.298562
29.666667,15,0.220833,-0.166667,0,-0.312896
29.833333,15,0.220833,-0.166667,0,-0.311823
30,15,0.220833,-0.166667,0,-0.315281
30.166667,16,0.665278,-0.166667,0,-0.328708
30.333333,16,0.220833,-0.166667,0,0.361115
30.5,16,0.220833,-0.166667,2,0.22625
30.666667,16,1.331944,-0.166667,1,0.014354
30.833333,16,0.220833,-0.166667,1,-0.318979
31,16,0.220833,-0.166667,0,-0.318812
31.166667,16,0.220833,-0.166667,0,-0.33224
31.333333,16,0.220833,-0.166667,0,-0.35201
31.5,16,0.220833,-0.166667,0,-0.3455
31.666667,16,0.665278,-0.166667,0,-0.032677
31.833333,16,0.220833,-0.166667,0,0.61999
32,16,0.220833,-0.166667,2,0.468813
32.166667,17,1.331944,-0.166667,1,0.307667
32.333333,17,0.220833,-0.166667,1,0.630458
32.5,17,0.220833,-0.166667,0,0.297125
32.666667,17,0.220833,-0.166667,0,-0.036208
32.833333,17,0.220833,-0.166667,0,-0.369542
33,17,0.220833,-0.166667,0,-0.393844
33.166667,17,0.665278,-0.166667,0,-0.386427
33.333333,17,0.220833,-0.166667,0,-0.399854
33.5,17,0.220833,-0.166667,2,-0.725937
33.666667,17,1.331944,-0.166667,1,-0.491052
33.833333,17,0.220833,-0.166667,1,-0.40026
34,17,0.220833,-0.166667,0,-0.066594
34.166667,18,0.220833,-0.166667,0,-0.399927
34.333333,18,0.220833,-0.166667,0,-0.416979
34.5,18,0.220833,-0.166667,0,-0.514687
34.666667,18,0.665278,-0.166667,0,-0.38674
34.833333,18,0.220833,-0.166667,0,-0.403792
35,18,0.220833,-0.166667,2,-0.396375
35.166667,18,1.331944,-0.166667,1,-0.369927
