@relation 'All_energy_5feat_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45-weka.filters.unsupervised.attribute.Remove-R1-5,8,10-21,23-31'

@attribute onset_s numeric
@attribute dur_s numeric
@attribute pre_dur_b numeric
@attribute chord {A7,B5,B7,B9,Bb7,C6,C7,D7,E,E7,Eb6,Eb7,F7,G,G6,G7,Am}
@attribute phrase {f,i,m}
@attribute energy_rat numeric

@data
77.14287,0.855357,0.997917,D7,m,0.985534
77.14287,0.855357,0.997917,D7,m,0.898034
77.14287,0.855357,0.997917,D7,m,0.898034
78.000013,0.855357,0.997917,Eb7,m,0.935534
78.857156,1.7125,0.997917,Eb7,m,0.960534
78.857156,1.7125,1.997917,Eb7,m,0.898034
78.857156,1.7125,1.997917,Eb7,m,0.935534
78.857156,1.7125,1.997917,Eb7,m,0.885534
78.857156,1.7125,1.997917,Eb7,f,0.948034
80.571442,1.7125,1.997917,G,i,0.898034
80.571442,1.7125,1.997917,G,m,0.898034
80.571442,1.7125,1.997917,G,m,0.935534
80.571442,1.7125,1.997917,G,m,0.885534
80.571442,1.7125,1.997917,G,f,0.923034
82.285728,0.855357,1.997917,Bb7,i,0.985534
82.285728,0.855357,0.997917,Bb7,m,0.948034
82.285728,0.855357,0.997917,Bb7,m,1.035534
82.285728,0.855357,0.997917,Bb7,m,0.923034
83.142871,0.855357,0.997917,Eb7,f,0.960534
84.000014,1.283929,0.997917,A7,i,1.173034
84.000014,1.283929,1.497917,A7,m,0.910534
84.000014,1.283929,1.497917,A7,m,1.098034
84.000014,1.283929,1.497917,A7,f,0.923034
85.285729,0.426786,1.497917,A7,i,0.923034
85.7143,0.855357,0.497917,B7,i,1.123034
85.7143,0.855357,0.997917,B7,m,0.898034
85.7143,0.855357,0.997917,B7,m,0.960534
85.7143,0.855357,0.997917,B7,m,1.023034
86.571443,0.855357,0.997917,B7,f,1.023034
87.428586,1.283929,0.997917,E,i,1.135534
87.428586,1.283929,1.497917,E,m,0.960534
87.428586,1.283929,1.497917,E,m,0.973034
87.428586,1.283929,1.497917,E,f,0.960534
88.714301,0.426786,1.497917,E,i,1.135534
89.142872,0.855357,0.497917,A7,m,1.160534
89.142872,0.855357,0.997917,A7,m,1.023034
89.142872,0.855357,0.997917,A7,m,1.323034
89.142872,0.855357,0.997917,A7,m,1.023034
90.000015,0.855357,0.997917,C6,m,1.023034
90.857158,0.426786,0.997917,B7,m,0.873034
90.857158,0.855357,0.497917,B7,m,1.023034
90.857158,0.855357,0.997917,B7,m,1.023034
90.857158,0.855357,0.997917,B7,m,1.048034
91.28573,0.426786,0.997917,B7,m,1.048034
91.714301,0.426786,0.497917,B7,m,1.073034
92.142873,0.426786,0.497917,B7,m,1.073034
92.571444,0.855357,0.497917,B5,m,1.073034
92.571444,1.7125,0.997917,B5,m,0.898034
92.571444,1.7125,1.997917,B5,m,1.023034
92.571444,1.7125,1.997917,B5,m,0.873034
93.428587,0.855357,1.997917,E7,f,0.935534
94.28573,1.7125,0.997917,A7,i,0.910534
94.28573,1.7125,1.997917,A7,m,0.923034
94.28573,1.7125,1.997917,A7,m,0.923034
94.28573,1.7125,1.997917,A7,f,0.898034
94.714302,1.283929,1.997917,A7,i,1.035534
96.000016,1.7125,1.497917,F7,f,0.973034
96.857159,0.855357,1.997917,F7,i,1.073034
96.857159,0.855357,0.997917,F7,f,1.073034
97.714302,0.426786,0.997917,B7,i,1.073034
97.714302,0.426786,0.497917,B7,m,0.910534
98.142874,0.426786,0.497917,B7,m,0.935534
98.142874,0.426786,0.497917,B7,m,1.348034
98.571445,0.426786,0.497917,B7,m,0.910534
98.571445,0.426786,0.497917,B7,m,1.023034
99.000017,0.426786,0.497917,Eb7,m,0.873034
99.000017,0.426786,0.497917,Eb7,m,0.873034
99.428588,0.855357,0.497917,Eb7,m,1.185534
99.428588,0.855357,0.997917,Eb7,m,0.923034
99.428588,0.855357,0.997917,Eb7,m,1.023034
99.428588,0.855357,0.997917,Eb7,m,0.898034
100.285731,0.855357,0.997917,Eb7,f,0.898034
101.142874,0.855357,0.997917,A7,i,1.348034
101.142874,0.855357,0.997917,A7,m,1.073034
101.142874,0.855357,0.997917,A7,m,0.873034
101.142874,0.855357,0.997917,A7,m,0.873034
102.000017,0.855357,0.997917,A7,f,0.948034
102.85716,1.7125,0.997917,D7,i,1.085534
102.85716,1.7125,1.997917,D7,m,0.898034
102.85716,1.7125,1.997917,D7,m,0.973034
102.85716,1.7125,1.997917,D7,f,0.935534
104.571446,1.7125,1.997917,G6,i,0.960534
104.571446,1.7125,1.997917,G6,m,0.973034
104.571446,1.7125,1.997917,G6,m,0.910534
104.571446,1.7125,1.997917,G6,f,0.885534
106.285732,3.426786,1.997917,G6,i,0.973034
106.285732,3.426786,3.997917,G6,m,0.885534
106.285732,3.426786,3.997917,G6,m,0.885534
106.285732,3.426786,3.997917,G6,f,?
0,0.248958,0,Am,i,0.906353
0.25,0.082292,0.497917,Am,m,0.906353
0.333333,0.082292,0.164583,Am,m,0.906353
0.416667,0.082292,0.164583,Am,m,0.906353
0.5,0.165625,0.164583,Am,f,0.906353
0.5,1.498958,0.33125,Am,i,0.931353
0.666667,0.165625,2.997917,Am,m,1.181353
0.833333,0.165625,0.33125,Am,m,1.243853
1,0.165625,0.33125,Am,m,1.118853
1.166667,0.165625,0.33125,Am,m,1.031353
1.333333,0.165625,0.33125,Am,m,1.031353
1.5,0.165625,0.33125,Am,m,0.906353
1.666667,0.165625,0.33125,Am,m,0.906353
1.833333,0.165625,0.33125,Am,m,0.906353
2,0.165625,0.33125,Am,m,0.906353
2.166667,0.165625,0.33125,Am,m,0.906353
2.333333,0.165625,0.33125,Am,m,0.956353
2.5,0.165625,0.33125,Am,m,0.906353
2.666667,0.165625,0.33125,Am,m,1.006353
2.833333,0.165625,0.33125,Am,m,0.981353
3,0.248958,0.33125,Am,m,0.981353
3.25,0.082292,0.497917,Am,m,0.981353
3.333333,0.082292,0.164583,Am,m,0.981353
3.416667,0.082292,0.164583,Am,m,1.018853
3.5,0.165625,0.164583,Am,m,1.031353
3.5,0.165625,0.33125,Am,m,0.893853
3.5,0.165625,0.33125,Am,f,0.893853
3.5,1.498958,0.33125,Am,i,0.918853
3.666667,0.165625,2.997917,Am,m,0.981353
3.833333,0.165625,0.33125,Am,m,0.943853
4,0.165625,0.33125,Am,m,0.956353
4.166667,0.165625,0.33125,Am,m,0.881353
4.333333,0.165625,0.33125,Am,m,0.893853
4.5,0.165625,0.33125,Am,m,0.881353
4.666667,0.165625,0.33125,Am,m,0.881353
4.833333,0.165625,0.33125,Am,m,0.881353
5,0.165625,0.33125,Am,m,0.881353
5.166667,0.165625,0.33125,Am,m,0.881353
5.333333,0.165625,0.33125,Am,m,0.881353
5.5,0.165625,0.33125,Am,m,0.931353
5.666667,0.165625,0.33125,Am,m,0.931353
5.833333,0.165625,0.33125,Am,m,0.931353
6,0.248958,0.33125,Am,m,0.931353
6.25,0.082292,0.497917,Am,m,0.956353
6.333333,0.082292,0.164583,Am,m,0.956353
6.416667,0.082292,0.164583,Am,m,0.956353
6.5,0.165625,0.164583,Am,m,0.981353
6.5,0.165625,0.33125,Am,m,1.006353
6.5,0.165625,0.33125,Am,m,1.143853
6.5,1.498958,0.33125,Am,f,0.918853
6.666667,0.165625,2.997917,Am,i,1.068853
6.833333,0.165625,0.33125,Am,m,1.068853
7,0.165625,0.33125,Am,m,1.068853
7.166667,0.165625,0.33125,Am,m,1.068853
7.333333,0.165625,0.33125,Am,m,0.893853
7.5,0.165625,0.33125,Am,m,0.956353
7.666667,0.165625,0.33125,Am,m,0.931353
7.833333,0.165625,0.33125,Am,m,0.943853
8,0.165625,0.33125,Am,m,0.993853
