@relation 'Suite_en_la_v2_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45'

@attribute onset_b numeric
@attribute dur_b numeric
@attribute string numeric
@attribute pitch numeric
@attribute vel numeric
@attribute onset_s numeric
@attribute dur_s numeric
@attribute measure numeric
@attribute pre_dur_b numeric
@attribute pre_dur_s numeric
@attribute nxt_dur_b numeric
@attribute nxt_dur_s numeric
@attribute pre_ionset_s numeric
@attribute nxt_ionset_s numeric
@attribute onset_b_mod numeric
@attribute pitch_mod numeric
@attribute n_simult numeric
@attribute prev_int numeric
@attribute next_int numeric
@attribute keyFifths numeric
@attribute note2key numeric
@attribute chord {Am}
@attribute chord_id numeric
@attribute chord_type {m}
@attribute note2chord numeric
@attribute isChordN {n}
@attribute mtr {s,ss,w,ww}
@attribute nar1 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar2 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar3 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute tempo numeric
@attribute phrase {f,i,m}
@attribute energy_rat numeric

@data
16,0.33125,6,65,80,8,0.165625,5,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,0,5,0,2,-1,0,5,Am,9,m,4,n,ww,P,P,IP,90,m,1.046699
16.333333,0.33125,5,64,80,8.166667,0.165625,5,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,0.333333,4,0,1,-2,0,4,Am,9,m,5,n,ww,P,IP,P,90,m,0.971699
16.666667,0.33125,4,62,80,8.333333,0.165625,5,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,0.666667,2,0,2,-1,0,2,Am,9,m,7,n,ww,IP,P,P,90,m,0.909199
17,0.33125,4,61,80,8.5,0.165625,5,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,1,1,0,1,1,0,1,Am,9,m,8,n,ww,P,P,IP,90,m,0.909199
17.333333,0.33125,5,62,80,8.666667,0.165625,5,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,1.333333,2,0,-1,2,0,2,Am,9,m,7,n,ww,P,IP,P,90,m,0.934199
17.666667,0.33125,4,64,80,8.833333,0.165625,5,0.33125,0.220833,0.497917,0.331944,-0.166667,0.166667,1.666667,4,0,-2,1,0,4,Am,9,m,5,n,ww,IP,P,P,90,m,1.021699
18,0.497917,5,65,80,9,0.248958,5,0.33125,0.220833,0.164583,0.109722,-0.166667,0.25,2,5,0,-1,-1,0,5,Am,9,m,4,n,ww,P,P,VP,90,m,1.021699
18.5,0.164583,6,64,80,9.25,0.082292,5,0.497917,0.331944,0.164583,0.109722,-0.25,0.083333,2.5,4,0,1,-2,0,4,Am,9,m,5,n,ww,P,VP,R,90,m,1.021699
18.666667,0.164583,4,62,80,9.333333,0.082292,5,0.164583,0.109722,0.164583,0.109722,-0.083333,0.083333,2.666667,2,0,2,-1,0,2,Am,9,m,7,n,ww,VP,R,P,90,m,1.021699
18.833333,0.164583,5,61,80,9.416667,0.082292,5,0.164583,0.109722,0.33125,0.220833,-0.083333,0.083333,2.833333,1,0,1,-8,0,1,Am,9,m,8,n,ww,R,P,SB,90,m,1.021699
19,0.33125,4,53,80,9.5,0.165625,5,0.164583,0.109722,0.33125,0.220833,-0.083333,0,3,5,0,8,4,0,5,Am,9,m,4,n,ww,P,SB,VR,90,m,0.921699
19,0.33125,2,57,80,9.5,0.165625,5,0.33125,0.220833,0.33125,0.220833,0,0,3,9,0,-4,5,0,9,Am,9,m,0,n,ww,SB,VR,IR,90,m,1.034199
19,0.33125,6,62,80,9.5,0.165625,5,0.33125,0.220833,2.997917,1.998611,0,0,3,2,0,-5,-17,0,2,Am,9,m,7,n,ww,VR,IR,P,90,m,0.984199
19,2.997917,7,45,80,9.5,1.498958,5,0.33125,0.220833,0.33125,0.220833,0,0.166667,3,9,5,17,12,0,9,Am,9,m,0,n,ww,IR,P,P,90,f,0.934199
19.333333,0.33125,2,57,80,9.666667,0.165625,5,2.997917,1.998611,0.33125,0.220833,-0.166667,0.166667,3.333333,9,1,-12,2,0,9,Am,9,m,0,n,ww,P,P,P,90,i,1.021699
19.666667,0.33125,6,59,80,9.833333,0.165625,5,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,3.666667,11,1,-2,2,0,11,Am,9,m,2,n,ww,P,P,P,90,m,0.984199
20,0.33125,2,61,80,10,0.165625,6,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,0,1,1,-2,1,0,1,Am,9,m,8,n,ww,P,P,P,90,m,1.084199
20.333333,0.33125,6,62,80,10.166667,0.165625,6,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,0.333333,2,1,-1,2,0,2,Am,9,m,7,n,ww,P,P,P,90,m,0.909199
